Approved symbol	Locus group	Ensembl gene ID
MXRA7P1	pseudogene	ENSG00000232320
MXRA8	protein-coding gene	ENSG00000162576
MYADM	protein-coding gene	ENSG00000179820
MYADM-AS1	non-coding RNA	ENSG00000228323
MYADML	pseudogene	ENSG00000239649
MYADML2	protein-coding gene	ENSG00000185105
MYB	protein-coding gene	ENSG00000118513
MYB-AS1	non-coding RNA	ENSG00000236703
MYBBP1A	protein-coding gene	ENSG00000132382
MYBL1	protein-coding gene	ENSG00000185697
MYBL2	protein-coding gene	ENSG00000101057
MYBPC1	protein-coding gene	ENSG00000196091
MYBPC2	protein-coding gene	ENSG00000086967
MYBPC3	protein-coding gene	ENSG00000134571
MYBPH	protein-coding gene	ENSG00000133055
MYBPHL	protein-coding gene	ENSG00000221986
MYC	protein-coding gene	ENSG00000136997
MYCBP	protein-coding gene	ENSG00000214114
MYCBP2	protein-coding gene	ENSG00000005810
MYCBP2-AS1	non-coding RNA	ENSG00000236051
MYCBP2-AS2	non-coding RNA	ENSG00000229521
MYCBPAP	protein-coding gene	ENSG00000136449
MYCL	protein-coding gene	ENSG00000116990
MYCL-AS1	non-coding RNA	ENSG00000236546
MYCLP1	pseudogene	ENSG00000204053
MYCLP2	pseudogene	ENSG00000228004
MYCLP3	pseudogene	
MYCN	protein-coding gene	ENSG00000134323
MYCNOS	other	ENSG00000233718
MYCNUT	non-coding RNA	ENSG00000223850
MYCT1	protein-coding gene	ENSG00000120279
MYD88	protein-coding gene	ENSG00000172936
MYDGF	protein-coding gene	ENSG00000074842
MYEF2	protein-coding gene	ENSG00000104177
MYEOV	protein-coding gene	ENSG00000172927
MYF5	protein-coding gene	ENSG00000111049
MYF6	protein-coding gene	ENSG00000111046
MYG1	protein-coding gene	ENSG00000139637
MYG1-AS1	non-coding RNA	ENSG00000257605
MYG1P1	pseudogene	ENSG00000270846
MYH1	protein-coding gene	ENSG00000109061
MYH10	protein-coding gene	ENSG00000133026
MYH11	protein-coding gene	ENSG00000133392
MYH13	protein-coding gene	ENSG00000006788
MYH14	protein-coding gene	ENSG00000105357
MYH15	protein-coding gene	ENSG00000144821
MYH16	pseudogene	ENSG00000002079
MYH2	protein-coding gene	ENSG00000125414
MYH3	protein-coding gene	ENSG00000109063
MYH4	protein-coding gene	ENSG00000264424
MYH6	protein-coding gene	ENSG00000197616
MYH7	protein-coding gene	ENSG00000092054
MYH7B	protein-coding gene	ENSG00000078814
MYH8	protein-coding gene	ENSG00000133020
MYH9	protein-coding gene	ENSG00000100345
MYHAS	non-coding RNA	ENSG00000272975
MYL1	protein-coding gene	ENSG00000168530
MYL10	protein-coding gene	ENSG00000106436
MYL12A	protein-coding gene	ENSG00000101608
MYL12AP1	pseudogene	ENSG00000254387
MYL12B	protein-coding gene	ENSG00000118680
MYL12BP1	pseudogene	ENSG00000260490
MYL12BP2	pseudogene	ENSG00000227765
MYL2	protein-coding gene	ENSG00000111245
MYL3	protein-coding gene	ENSG00000160808
MYL4	protein-coding gene	ENSG00000198336
MYL5	protein-coding gene	ENSG00000215375
MYL6	protein-coding gene	ENSG00000092841
MYL6B	protein-coding gene	ENSG00000196465
MYL6BP1	pseudogene	ENSG00000228380
MYL6P1	pseudogene	ENSG00000226543
MYL6P2	pseudogene	ENSG00000235808
MYL6P3	pseudogene	ENSG00000227173
MYL6P4	pseudogene	ENSG00000240677
MYL6P5	pseudogene	ENSG00000228118
MYL7	protein-coding gene	ENSG00000106631
MYL8P	pseudogene	ENSG00000229596
MYL9	protein-coding gene	ENSG00000101335
MYLIP	protein-coding gene	ENSG00000007944
MYLK	protein-coding gene	ENSG00000065534
MYLK-AS1	non-coding RNA	ENSG00000239523
MYLK-AS2	non-coding RNA	ENSG00000250174
MYLK2	protein-coding gene	ENSG00000101306
MYLK3	protein-coding gene	ENSG00000140795
MYLK4	protein-coding gene	ENSG00000145949
MYLKP1	pseudogene	ENSG00000228868
MYLPF	protein-coding gene	ENSG00000180209
MYMK	protein-coding gene	ENSG00000187616
MYMX	protein-coding gene	ENSG00000262179
MYNN	protein-coding gene	ENSG00000085274
MYO10	protein-coding gene	ENSG00000145555
MYO15A	protein-coding gene	ENSG00000091536
MYO15B	protein-coding gene	ENSG00000266714
MYO16	protein-coding gene	ENSG00000041515
MYO16-AS1	non-coding RNA	ENSG00000236242
MYO16-AS2	non-coding RNA	ENSG00000229938
MYO18A	protein-coding gene	ENSG00000196535
MYO18B	protein-coding gene	ENSG00000133454
MYO18B-AS1	non-coding RNA	ENSG00000231933
MYO19	protein-coding gene	ENSG00000278259
MYO1A	protein-coding gene	ENSG00000166866
MYO1B	protein-coding gene	ENSG00000128641
MYO1C	protein-coding gene	ENSG00000197879
MYO1D	protein-coding gene	ENSG00000176658
MYO1E	protein-coding gene	ENSG00000157483
MYO1F	protein-coding gene	ENSG00000142347
MYO1G	protein-coding gene	ENSG00000136286
MYO1H	protein-coding gene	ENSG00000174527
MYO3A	protein-coding gene	ENSG00000095777
MYO3B	protein-coding gene	ENSG00000071909
MYO3B-AS1	non-coding RNA	ENSG00000231898
MYO5A	protein-coding gene	ENSG00000197535
MYO5B	protein-coding gene	ENSG00000167306
MYO5BP1	pseudogene	ENSG00000274680
MYO5BP2	pseudogene	ENSG00000238245
MYO5BP3	pseudogene	ENSG00000228656
MYO5C	protein-coding gene	ENSG00000128833
MYO6	protein-coding gene	ENSG00000196586
MYO7A	protein-coding gene	ENSG00000137474
MYO7B	protein-coding gene	ENSG00000169994
MYO9A	protein-coding gene	ENSG00000066933
MYO9B	protein-coding gene	ENSG00000099331
MYOC	protein-coding gene	ENSG00000034971
MYOCD	protein-coding gene	ENSG00000141052
MYOCD-AS1	non-coding RNA	ENSG00000227274
MYOCOS	protein-coding gene	ENSG00000283683
MYOD1	protein-coding gene	ENSG00000129152
MYOF	protein-coding gene	ENSG00000138119
MYOG	protein-coding gene	ENSG00000122180
MYOM1	protein-coding gene	ENSG00000101605
MYOM2	protein-coding gene	ENSG00000036448
MYOM3	protein-coding gene	ENSG00000142661
MYOM3-AS1	non-coding RNA	ENSG00000230703
MYOPARR	non-coding RNA	
MYORG	protein-coding gene	ENSG00000164976
MYOSLID	non-coding RNA	ENSG00000229647
MYOSLID-AS1	non-coding RNA	
MYOT	protein-coding gene	ENSG00000120729
MYOZ1	protein-coding gene	ENSG00000177791
MYOZ2	protein-coding gene	ENSG00000172399
MYOZ3	protein-coding gene	ENSG00000164591
MYPN	protein-coding gene	ENSG00000138347
MYPOP	protein-coding gene	ENSG00000176182
MYRF	protein-coding gene	ENSG00000124920
MYRF-AS1	non-coding RNA	ENSG00000124915
MYRFL	protein-coding gene	ENSG00000166268
MYRIP	protein-coding gene	ENSG00000170011
MYSM1	protein-coding gene	ENSG00000162601
MYT1	protein-coding gene	ENSG00000196132
MYT1L	protein-coding gene	ENSG00000186487
MYT1L-AS1	non-coding RNA	ENSG00000225619
MYZAP	protein-coding gene	ENSG00000263155
MZB1	protein-coding gene	ENSG00000170476
MZF1	protein-coding gene	ENSG00000099326
MZF1-AS1	non-coding RNA	ENSG00000267858
MZT1	protein-coding gene	ENSG00000204899
MZT1P1	pseudogene	ENSG00000271264
MZT1P2	pseudogene	ENSG00000271404
MZT2A	protein-coding gene	ENSG00000173272
MZT2B	protein-coding gene	ENSG00000152082
N4BP1	protein-coding gene	ENSG00000102921
N4BP2	protein-coding gene	ENSG00000078177
N4BP2L1	protein-coding gene	ENSG00000139597
N4BP2L2	protein-coding gene	ENSG00000244754
N4BP2L2-IT2	non-coding RNA	ENSG00000281026
N4BP3	protein-coding gene	ENSG00000145911
N6AMT1	protein-coding gene	ENSG00000156239
NAA10	protein-coding gene	ENSG00000102030
NAA11	protein-coding gene	ENSG00000156269
NAA15	protein-coding gene	ENSG00000164134
NAA16	protein-coding gene	ENSG00000172766
NAA20	protein-coding gene	ENSG00000173418
NAA20P1	pseudogene	ENSG00000227064
NAA25	protein-coding gene	ENSG00000111300
NAA30	protein-coding gene	ENSG00000139977
NAA35	protein-coding gene	ENSG00000135040
NAA38	protein-coding gene	ENSG00000183011
NAA40	protein-coding gene	ENSG00000110583
NAA50	protein-coding gene	ENSG00000121579
NAA60	protein-coding gene	ENSG00000122390
NAA80	protein-coding gene	ENSG00000243477
NAAA	protein-coding gene	ENSG00000138744
NAALAD2	protein-coding gene	ENSG00000077616
NAALADL1	protein-coding gene	ENSG00000168060
NAALADL2	protein-coding gene	ENSG00000177694
NAALADL2-AS1	non-coding RNA	ENSG00000225552
NAALADL2-AS2	non-coding RNA	ENSG00000226779
NAALADL2-AS3	non-coding RNA	ENSG00000230292
NAB1	protein-coding gene	ENSG00000138386
NAB2	protein-coding gene	ENSG00000166886
NABP1	protein-coding gene	ENSG00000173559
NABP1-OT1	non-coding RNA	ENSG00000288582
NABP2	protein-coding gene	ENSG00000139579
NACA	protein-coding gene	ENSG00000196531
NACA2	protein-coding gene	ENSG00000253506
NACA3P	pseudogene	ENSG00000121089
NACA4P	pseudogene	ENSG00000228224
NACAD	protein-coding gene	ENSG00000136274
NACAP10	pseudogene	ENSG00000254253
NACAP2	pseudogene	ENSG00000180230
NACAP5	pseudogene	ENSG00000249488
NACAP6	pseudogene	ENSG00000248403
NACAP7	pseudogene	ENSG00000218965
NACAP8	pseudogene	ENSG00000257210
NACAP9	pseudogene	
NACC1	protein-coding gene	ENSG00000160877
NACC2	protein-coding gene	ENSG00000148411
NADK	protein-coding gene	ENSG00000008130
NADK2	protein-coding gene	ENSG00000152620
NADK2-AS1	non-coding RNA	ENSG00000245711
NADSYN1	protein-coding gene	ENSG00000172890
NAE1	protein-coding gene	ENSG00000159593
NAF1	protein-coding gene	ENSG00000145414
NAGA	protein-coding gene	ENSG00000198951
NAGK	protein-coding gene	ENSG00000124357
NAGLU	protein-coding gene	ENSG00000108784
NAGPA	protein-coding gene	ENSG00000103174
NAGPA-AS1	non-coding RNA	ENSG00000267072
NAGS	protein-coding gene	ENSG00000161653
NAIF1	protein-coding gene	ENSG00000171169
NAIP	protein-coding gene	ENSG00000249437
NAIPP1	pseudogene	ENSG00000250687
NAIPP2	pseudogene	ENSG00000179978
NAIPP3	pseudogene	ENSG00000248477
NAIPP4	pseudogene	ENSG00000251634
NALCN	protein-coding gene	ENSG00000102452
NALCN-AS1	non-coding RNA	ENSG00000233009
NALT1	non-coding RNA	ENSG00000237886
NAMA	non-coding RNA	ENSG00000271086
NAMPT	protein-coding gene	ENSG00000105835
NAMPTP1	pseudogene	ENSG00000229644
NAMPTP2	pseudogene	ENSG00000249229
NAMPTP3	pseudogene	ENSG00000261053
NANOG	protein-coding gene	ENSG00000111704
NANOGNB	protein-coding gene	ENSG00000205857
NANOGNBP1	pseudogene	ENSG00000226034
NANOGNBP2	pseudogene	ENSG00000256563
NANOGNBP3	pseudogene	ENSG00000270813
NANOGP1	pseudogene	ENSG00000176654
NANOGP10	pseudogene	ENSG00000231750
NANOGP11	pseudogene	ENSG00000233464
NANOGP2	pseudogene	ENSG00000228670
NANOGP3	pseudogene	ENSG00000271373
NANOGP4	pseudogene	ENSG00000237065
NANOGP5	pseudogene	ENSG00000231697
NANOGP6	pseudogene	ENSG00000227351
NANOGP7	pseudogene	ENSG00000258774
NANOGP8	protein-coding gene	ENSG00000255192
NANOGP9	pseudogene	ENSG00000231809
NANOS1	protein-coding gene	ENSG00000188613
NANOS2	protein-coding gene	ENSG00000188425
NANOS3	protein-coding gene	ENSG00000187556
NANP	protein-coding gene	ENSG00000170191
NANS	protein-coding gene	ENSG00000095380
NAP1L1	protein-coding gene	ENSG00000187109
NAP1L1P1	pseudogene	ENSG00000254759
NAP1L1P2	pseudogene	ENSG00000229163
NAP1L1P3	pseudogene	ENSG00000213371
NAP1L2	protein-coding gene	ENSG00000186462
NAP1L3	protein-coding gene	ENSG00000186310
NAP1L4	protein-coding gene	ENSG00000205531
NAP1L4P1	pseudogene	ENSG00000177173
NAP1L4P2	pseudogene	ENSG00000224816
NAP1L4P3	pseudogene	ENSG00000234145
NAP1L5	protein-coding gene	ENSG00000177432
NAP1L6P	pseudogene	ENSG00000204118
NAPA	protein-coding gene	ENSG00000105402
NAPA-AS1	non-coding RNA	ENSG00000268061
NAPB	protein-coding gene	ENSG00000125814
NAPEPLD	protein-coding gene	ENSG00000161048
NAPG	protein-coding gene	ENSG00000134265
NAPGP1	pseudogene	ENSG00000271408
NAPGP2	pseudogene	ENSG00000275906
NAPRT	protein-coding gene	ENSG00000147813
NAPSA	protein-coding gene	ENSG00000131400
NAPSB	pseudogene	ENSG00000131401
NARF	protein-coding gene	ENSG00000141562
NARF-AS1	non-coding RNA	ENSG00000266445
NARF-IT1	non-coding RNA	ENSG00000266236
NARS1	protein-coding gene	ENSG00000134440
NARS1P1	pseudogene	
NARS1P2	pseudogene	ENSG00000253789
NARS2	protein-coding gene	ENSG00000137513
NASP	protein-coding gene	ENSG00000132780
NASPP1	pseudogene	ENSG00000255397
NAT1	protein-coding gene	ENSG00000171428
NAT10	protein-coding gene	ENSG00000135372
NAT14	protein-coding gene	ENSG00000090971
NAT16	protein-coding gene	ENSG00000167011
NAT2	protein-coding gene	ENSG00000156006
NAT8	protein-coding gene	ENSG00000144035
NAT8B	protein-coding gene	ENSG00000204872
NAT8L	protein-coding gene	ENSG00000185818
NAT9	protein-coding gene	ENSG00000109065
NATD1	protein-coding gene	ENSG00000274180
NATP	pseudogene	ENSG00000253937
NAV1	protein-coding gene	ENSG00000134369
NAV2	protein-coding gene	ENSG00000166833
NAV2-AS1	non-coding RNA	ENSG00000254894
NAV2-AS2	non-coding RNA	ENSG00000254453
NAV2-AS3	non-coding RNA	ENSG00000254542
NAV2-AS4	non-coding RNA	ENSG00000254622
NAV2-AS5	non-coding RNA	ENSG00000255043
NAV2-IT1	non-coding RNA	ENSG00000255270
NAV3	protein-coding gene	ENSG00000067798
NAXD	protein-coding gene	ENSG00000213995
NAXE	protein-coding gene	ENSG00000163382
NBAS	protein-coding gene	ENSG00000151779
NBAT1	non-coding RNA	ENSG00000260455
NBDY	protein-coding gene	ENSG00000204272
NBEA	protein-coding gene	ENSG00000172915
NBEAL1	protein-coding gene	ENSG00000144426
NBEAL2	protein-coding gene	ENSG00000160796
NBEAP1	pseudogene	ENSG00000258590
NBEAP2	pseudogene	ENSG00000197927
NBEAP3	pseudogene	ENSG00000223875
NBEAP4	pseudogene	ENSG00000258883
NBEAP5	pseudogene	ENSG00000277710
NBEAP6	pseudogene	ENSG00000285990
NBL1	protein-coding gene	ENSG00000158747
NBN	protein-coding gene	ENSG00000104320
NBPF1	protein-coding gene	ENSG00000219481
NBPF10	protein-coding gene	ENSG00000271425
NBPF11	protein-coding gene	ENSG00000263956
NBPF12	protein-coding gene	ENSG00000268043
NBPF13P	pseudogene	ENSG00000283342
NBPF14	protein-coding gene	ENSG00000270629
NBPF15	protein-coding gene	ENSG00000266338
NBPF17P	pseudogene	ENSG00000179571
NBPF18P	pseudogene	ENSG00000240667
NBPF19	protein-coding gene	ENSG00000271383
NBPF20	protein-coding gene	ENSG00000162825
NBPF21P	pseudogene	ENSG00000231382
NBPF22P	pseudogene	ENSG00000205449
NBPF25P	pseudogene	ENSG00000272150
NBPF26	protein-coding gene	ENSG00000273136
NBPF2P	pseudogene	ENSG00000227001
NBPF3	protein-coding gene	ENSG00000142794
NBPF4	protein-coding gene	ENSG00000196427
NBPF5P	pseudogene	ENSG00000243967
NBPF6	protein-coding gene	ENSG00000186086
NBPF7	other	ENSG00000215864
NBPF8	other	ENSG00000270231
NBPF9	protein-coding gene	ENSG00000269713
NBR1	protein-coding gene	ENSG00000188554
NBR2	non-coding RNA	ENSG00000198496
NCALD	protein-coding gene	ENSG00000104490
NCAM1	protein-coding gene	ENSG00000149294
NCAM1-AS1	non-coding RNA	ENSG00000227487
NCAM2	protein-coding gene	ENSG00000154654
NCAN	protein-coding gene	ENSG00000130287
NCAPD2	protein-coding gene	ENSG00000010292
NCAPD2P1	pseudogene	ENSG00000230356
NCAPD3	protein-coding gene	ENSG00000151503
NCAPG	protein-coding gene	ENSG00000109805
NCAPG2	protein-coding gene	ENSG00000146918
NCAPGP1	pseudogene	ENSG00000250290
NCAPGP2	pseudogene	ENSG00000259749
NCAPH	protein-coding gene	ENSG00000121152
NCAPH2	protein-coding gene	ENSG00000025770
NCBP1	protein-coding gene	ENSG00000136937
NCBP2	protein-coding gene	ENSG00000114503
NCBP2-AS1	non-coding RNA	ENSG00000225578
NCBP2AS2	protein-coding gene	ENSG00000270170
NCBP2L	protein-coding gene	ENSG00000170935
NCBP3	protein-coding gene	ENSG00000074356
NCCRP1	protein-coding gene	ENSG00000188505
NCDN	protein-coding gene	ENSG00000020129
NCEH1	protein-coding gene	ENSG00000144959
NCF1	protein-coding gene	ENSG00000158517
NCF1B	pseudogene	ENSG00000182487
NCF1C	pseudogene	ENSG00000165178
NCF2	protein-coding gene	ENSG00000116701
NCF4	protein-coding gene	ENSG00000100365
NCF4-AS1	non-coding RNA	ENSG00000183822
NCK1	protein-coding gene	ENSG00000158092
NCK1-DT	non-coding RNA	ENSG00000239213
NCK2	protein-coding gene	ENSG00000071051
NCKAP1	protein-coding gene	ENSG00000061676
NCKAP1L	protein-coding gene	ENSG00000123338
NCKAP1P1	pseudogene	ENSG00000237752
NCKAP5	protein-coding gene	ENSG00000176771
NCKAP5-AS1	non-coding RNA	ENSG00000233729
NCKAP5-AS2	non-coding RNA	ENSG00000226953
NCKAP5-IT1	non-coding RNA	ENSG00000232474
NCKAP5L	protein-coding gene	ENSG00000167566
NCKIPSD	protein-coding gene	ENSG00000213672
NCL	protein-coding gene	ENSG00000115053
NCLN	protein-coding gene	ENSG00000125912
NCLP1	pseudogene	ENSG00000213212
NCLP2	pseudogene	ENSG00000234228
NCMAP	protein-coding gene	ENSG00000184454
NCMAP-DT	non-coding RNA	ENSG00000264443
NCOA1	protein-coding gene	ENSG00000084676
NCOA2	protein-coding gene	ENSG00000140396
NCOA3	protein-coding gene	ENSG00000124151
NCOA4	protein-coding gene	ENSG00000266412
NCOA4P1	pseudogene	ENSG00000258629
NCOA4P2	pseudogene	ENSG00000249934
NCOA4P3	pseudogene	ENSG00000249245
NCOA4P4	pseudogene	ENSG00000249215
NCOA5	protein-coding gene	ENSG00000124160
NCOA5LP	pseudogene	ENSG00000283365
NCOA6	protein-coding gene	ENSG00000198646
NCOA7	protein-coding gene	ENSG00000111912
NCOA7-AS1	non-coding RNA	ENSG00000232131
NCOR1	protein-coding gene	ENSG00000141027
NCOR1P1	pseudogene	ENSG00000240108
NCOR1P2	pseudogene	ENSG00000265019
NCOR1P3	pseudogene	ENSG00000233601
NCOR1P4	pseudogene	ENSG00000279864
NCOR2	protein-coding gene	ENSG00000196498
NCR1	protein-coding gene	ENSG00000189430
NCR2	protein-coding gene	ENSG00000096264
NCR3	protein-coding gene	ENSG00000204475
NCR3LG1	protein-coding gene	ENSG00000188211
NCRUPAR	non-coding RNA	
NCS1	protein-coding gene	ENSG00000107130
NCSTN	protein-coding gene	ENSG00000162736
NCSTNP1	pseudogene	ENSG00000219592
NDC1	protein-coding gene	ENSG00000058804
NDC80	protein-coding gene	ENSG00000080986
NDE1	protein-coding gene	ENSG00000072864
NDE1P1	pseudogene	
NDE1P2	pseudogene	ENSG00000271337
NDEL1	protein-coding gene	ENSG00000166579
NDFIP1	protein-coding gene	ENSG00000131507
NDFIP1P1	pseudogene	ENSG00000255892
NDFIP2	protein-coding gene	ENSG00000102471
NDFIP2-AS1	non-coding RNA	ENSG00000232132
NDN	protein-coding gene	ENSG00000182636
NDNF	protein-coding gene	ENSG00000173376
NDOR1	protein-coding gene	ENSG00000188566
NDP	protein-coding gene	ENSG00000124479
NDP-AS1	non-coding RNA	ENSG00000236276
NDRG1	protein-coding gene	ENSG00000104419
NDRG2	protein-coding gene	ENSG00000165795
NDRG3	protein-coding gene	ENSG00000101079
NDRG4	protein-coding gene	ENSG00000103034
NDST1	protein-coding gene	ENSG00000070614
NDST1-AS1	non-coding RNA	ENSG00000254333
NDST2	protein-coding gene	ENSG00000166507
NDST3	protein-coding gene	ENSG00000164100
NDST4	protein-coding gene	ENSG00000138653
NDUFA1	protein-coding gene	ENSG00000125356
NDUFA10	protein-coding gene	ENSG00000130414
NDUFA11	protein-coding gene	ENSG00000174886
NDUFA12	protein-coding gene	ENSG00000184752
NDUFA12P1	pseudogene	ENSG00000225999
NDUFA13	protein-coding gene	ENSG00000186010
NDUFA2	protein-coding gene	ENSG00000131495
NDUFA3	protein-coding gene	ENSG00000170906
NDUFA3P1	pseudogene	ENSG00000267590
NDUFA3P2	pseudogene	ENSG00000254856
NDUFA3P3	pseudogene	ENSG00000213032
NDUFA3P4	pseudogene	ENSG00000259262
NDUFA3P5	pseudogene	
NDUFA3P6	pseudogene	ENSG00000262366
NDUFA4	protein-coding gene	ENSG00000189043
NDUFA4L2	protein-coding gene	ENSG00000185633
NDUFA4P1	pseudogene	ENSG00000224550
NDUFA4P2	pseudogene	ENSG00000236691
NDUFA5	protein-coding gene	ENSG00000128609
NDUFA5P1	pseudogene	ENSG00000232390
NDUFA5P10	pseudogene	ENSG00000224927
NDUFA5P11	pseudogene	ENSG00000259918
NDUFA5P12	pseudogene	ENSG00000248531
NDUFA5P2	pseudogene	ENSG00000253454
NDUFA5P3	pseudogene	ENSG00000234853
NDUFA5P4	pseudogene	ENSG00000233659
NDUFA5P5	pseudogene	ENSG00000242365
NDUFA5P6	pseudogene	ENSG00000256310
NDUFA5P7	pseudogene	ENSG00000234039
NDUFA5P8	pseudogene	ENSG00000236987
NDUFA5P9	pseudogene	ENSG00000220831
NDUFA6	protein-coding gene	ENSG00000184983
NDUFA6-DT	non-coding RNA	ENSG00000237037
NDUFA7	protein-coding gene	ENSG00000267855
NDUFA8	protein-coding gene	ENSG00000119421
NDUFA8P1	pseudogene	ENSG00000271710
NDUFA9	protein-coding gene	ENSG00000139180
NDUFA9P1	pseudogene	ENSG00000237406
NDUFAB1	protein-coding gene	ENSG00000004779
NDUFAB1P1	pseudogene	ENSG00000217767
NDUFAF1	protein-coding gene	ENSG00000137806
NDUFAF2	protein-coding gene	ENSG00000164182
NDUFAF2P1	pseudogene	ENSG00000279307
NDUFAF2P2	pseudogene	ENSG00000255358
NDUFAF3	protein-coding gene	ENSG00000178057
NDUFAF4	protein-coding gene	ENSG00000123545
NDUFAF4P1	pseudogene	ENSG00000259467
NDUFAF4P2	pseudogene	ENSG00000213483
NDUFAF4P3	pseudogene	ENSG00000236411
NDUFAF4P4	pseudogene	ENSG00000231378
NDUFAF5	protein-coding gene	ENSG00000101247
NDUFAF6	protein-coding gene	ENSG00000156170
NDUFAF7	protein-coding gene	ENSG00000003509
NDUFAF8	protein-coding gene	ENSG00000224877
NDUFB1	protein-coding gene	ENSG00000183648
NDUFB10	protein-coding gene	ENSG00000140990
NDUFB10P1	pseudogene	ENSG00000260870
NDUFB10P2	pseudogene	ENSG00000261624
NDUFB11	protein-coding gene	ENSG00000147123
NDUFB11P1	pseudogene	ENSG00000235547
NDUFB1P1	pseudogene	ENSG00000231884
NDUFB1P2	pseudogene	ENSG00000234523
NDUFB2	protein-coding gene	ENSG00000090266
NDUFB2-AS1	non-coding RNA	ENSG00000240889
NDUFB2P1	pseudogene	ENSG00000249074
NDUFB3	protein-coding gene	ENSG00000119013
NDUFB3P1	pseudogene	
NDUFB3P2	pseudogene	
NDUFB3P3	pseudogene	
NDUFB3P4	pseudogene	
NDUFB3P5	pseudogene	ENSG00000227779
NDUFB4	protein-coding gene	ENSG00000065518
NDUFB4P1	pseudogene	ENSG00000242510
NDUFB4P10	pseudogene	ENSG00000232880
NDUFB4P11	pseudogene	ENSG00000259374
NDUFB4P12	pseudogene	ENSG00000124399
NDUFB4P2	pseudogene	ENSG00000251306
NDUFB4P3	pseudogene	ENSG00000231096
NDUFB4P4	pseudogene	ENSG00000217718
NDUFB4P5	pseudogene	ENSG00000226114
NDUFB4P6	pseudogene	ENSG00000235258
NDUFB4P7	pseudogene	ENSG00000225428
NDUFB4P8	pseudogene	ENSG00000223663
NDUFB4P9	pseudogene	ENSG00000249754
NDUFB5	protein-coding gene	ENSG00000136521
NDUFB5P1	pseudogene	ENSG00000251025
NDUFB5P2	pseudogene	ENSG00000214628
NDUFB6	protein-coding gene	ENSG00000165264
NDUFB7	protein-coding gene	ENSG00000099795
NDUFB8	protein-coding gene	ENSG00000166136
NDUFB8P1	pseudogene	ENSG00000258972
NDUFB8P2	pseudogene	ENSG00000270264
NDUFB8P3	pseudogene	
NDUFB9	protein-coding gene	ENSG00000147684
NDUFB9P1	pseudogene	ENSG00000271045
NDUFB9P2	pseudogene	ENSG00000236281
NDUFB9P3	pseudogene	ENSG00000253994
NDUFC1	protein-coding gene	ENSG00000109390
NDUFC2	protein-coding gene	ENSG00000151366
NDUFC2-KCTD14	other	ENSG00000259112
NDUFS1	protein-coding gene	ENSG00000023228
NDUFS2	protein-coding gene	ENSG00000158864
NDUFS3	protein-coding gene	ENSG00000213619
NDUFS4	protein-coding gene	ENSG00000164258
NDUFS5	protein-coding gene	ENSG00000168653
NDUFS5P1	pseudogene	ENSG00000218424
NDUFS5P2	pseudogene	ENSG00000234226
NDUFS5P3	pseudogene	ENSG00000233664
NDUFS5P4	pseudogene	ENSG00000251437
NDUFS5P5	pseudogene	ENSG00000230671
NDUFS5P6	pseudogene	ENSG00000255531
NDUFS5P7	pseudogene	
NDUFS6	protein-coding gene	ENSG00000145494
NDUFS6P1	pseudogene	ENSG00000241905
NDUFS7	protein-coding gene	ENSG00000115286
NDUFS8	protein-coding gene	ENSG00000110717
NDUFV1	protein-coding gene	ENSG00000167792
NDUFV2	protein-coding gene	ENSG00000178127
NDUFV2-AS1	non-coding RNA	ENSG00000266053
NDUFV2P1	pseudogene	ENSG00000267809
NDUFV3	protein-coding gene	ENSG00000160194
NEAT1	non-coding RNA	ENSG00000245532
